"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0102UWB5147",-78.263802,42.9314
"0102UWB5148",-78.287003,42.989498
"0102UWB5151",-78.764801,43.132301
"0102UWB5152",-78.749,43.131599
"0102UWB5153",-78.736298,43.129799
"0102UWB5154",-78.736603,43.128799
"0102UWB5155",-78.6903,43.1352
"0102UWB5156",-78.649498,43.128101
"0102UWB5157",-78.637001,43.132301
"0102UWB5186",-78.293404,42.766102
"0102UWB5188",-78.318001,42.796001
"0102UWB5192",-78.368896,42.869701
"0102UWB5194",-78.503304,43.080898
"0102UWB5195",-78.502098,43.078602
"0102UWB5196",-78.574402,43.091202
"0102UWB5197",-78.574501,43.0009
"0102UWB5198",-78.568603,43.0354
"0102UWB5199",-78.551903,43.0504
"0102UWB5200",-78.505203,43.0256
"0102UWB5201",-78.509598,43.011101
"0102UWB5202",-78.5252,43.004002
"0102UWB5203",-78.5261,43.0046
"0102UWB5205",-78.621597,43.136002
"0102UWB5206",-78.508003,43.129002
"0102UWB5207",-78.505997,43.128899
"0102UWB5208",-78.506401,43.127701
"0102UWB5209",-78.505203,43.130901
"0102UWB5210",-78.499496,43.129101
"0102UWB5211",-78.462303,43.130699
"0102UWB5212",-78.459999,43.134899
"0102UWB5213",-78.457298,43.1366
"0102UWB5214",-78.415199,43.027
"0102UWB5218",-78.489998,43.0863
"0102UWB5219",-78.491898,43.085499
"0102UWB5223",-78.473,42.898601
"0102UWB5225",-78.248299,43.0051
"0102UWB5233",-78.166702,42.9855
"0102UWB5234",-78.2388,42.983898
"0102UWB5236",-78.234398,42.8922
"0102UWB5237",-78.235199,42.892502
"0102UWB5238",-78.236198,42.893002
"0102UWB5239",-78.244698,42.903099
"0102UWB5241",-78.222198,42.9454
"0102UWB5242",-78.2267,42.9287
"0102UWB5245",-78.256203,42.728401
"0102UWB5246",-78.325897,42.746498
"0102UWB5247",-78.320503,42.743401
"0102UWB5248",-78.289101,42.730999
"0102UWB5249",-78.287003,42.728901
"0102UWB5250",-78.257896,42.721401
"0102UWB5251",-78.263603,42.717701
"0102UWB5252",-78.299004,42.721699
"0102UWB5253",-78.332001,42.719002
"0102UWB5254",-78.313103,42.7141
"0102UWB5255",-78.310501,42.711399
"0102UWB5256",-78.295998,42.706699
"0102UWB5257",-78.266701,42.695099
"0102UWB5260",-78.294601,42.685799
"0102UWB5261",-78.290703,42.690601
"0102UWB5262",-78.268097,42.681
"0102UWB5263",-78.285797,42.670101
"0102UWB5264",-78.283302,42.667198
"0102UWB5265",-78.278297,42.668701
"0102UWB5266",-78.283699,42.6642
"0102UWB5267",-78.267303,42.672401
"0102UWB5268",-78.278397,42.654598
"0102UWB5269",-78.284798,42.653702
"0102UWB5270",-78.293899,42.653198
"0102UWB5271",-78.292801,42.648102
"0102UWB5272",-78.288902,42.640301
"0102UWB5276",-78.344002,42.669201
"0102UWB5277",-78.341598,42.6693
"0102UWB5491",-78.284897,43.003399
"0102UWB5492",-78.231102,42.891399
"0102UWB5779",-78.741302,43.028999
"0102UWBONT25058",-78.71215,43.06514
"0102UWBONTA5058",-78.16492,43.02448
"0102YOGXXX1",-78.3127,42.6416
"0103BIP5370",-78.569,42.872799
"0103BON5102",-78.5569,42.889198
"0103GREXXX1",-78.71899315,42.88899732
"0103HOW5361",-78.569702,42.779098
"0103KELXXX1",-78.4184,42.808
"0103KNOXXX1",-78.64171,42.768771
"0103KNOXXX2",-78.654596,42.77487
"0103ORC5454",-78.6511,42.690399
"0103PRIXXX1",-78.543686,42.765822
"0103PRO5442",-78.487801,42.597401
"0103SIN0071",-78.6092,42.783199
"0103UWB0050",-78.495697,42.612301
"0103UWB0051",-78.494598,42.612801
"0103UWB0053",-78.484398,42.583698
"0103UWB0056",-78.610802,42.629101
"0103UWB0062",-78.638901,42.917198
"0103UWB0063",-78.641701,42.916901
"0103UWB0065",-78.663803,42.890499
"0103UWB0070",-78.6119,42.780998
"0103UWB0072",-78.606003,42.778099
"0103UWB0074",-78.6082,42.787201
"0103UWB5039",-78.796402,42.888599
"0103UWB5101",-78.601303,42.924702
"0103UWB5111",-78.630302,42.910599
"0103UWB5112",-78.627197,42.9128
"0103UWB5113",-78.626,42.916401
"0103UWB5115",-78.728401,42.887001
"0103UWB5116",-78.723801,42.888
"0103UWB5117",-78.724602,42.886501
"0103UWB5118",-78.722603,42.8862
"0103UWB5119",-78.720398,42.887199
"0103UWB5120",-78.721802,42.888401
"0103UWB5121",-78.717903,42.888802
"0103UWB5122",-78.7155,42.888599
"0103UWB5123",-78.719597,42.884602
"0103UWB5124",-78.7164,42.883701
"0103UWB5137",-78.646896,42.893101
"0103UWB5168",-78.4328,42.793301
"0103UWB5172",-78.412003,42.774799
"0103UWB5220",-78.601402,42.923901
"0103UWB5243",-78.346802,42.731998
"0103UWB5282",-78.3685,42.664501
"0103UWB5283",-78.351799,42.662899
"0103UWB5284",-78.3507,42.654499
"0103UWB5285",-78.349197,42.651798
"0103UWB5286",-78.351501,42.652599
"0103UWB5287",-78.349197,42.659199
"0103UWB5288",-78.341904,42.647999
"0103UWB5289",-78.341103,42.647202
"0103UWB5290",-78.361397,42.6535
"0103UWB5293",-78.350998,42.643902
"0103UWB5311",-78.694603,42.771702
"0103UWB5313",-78.689201,42.769798
"0103UWB5315",-78.713303,42.7906
"0103UWB5316",-78.732101,42.798599
"0103UWB5318",-78.662598,42.7714
"0103UWB5319",-78.666702,42.771599
"0103UWB5320",-78.638397,42.769501
"0103UWB5321",-78.641296,42.771999
"0103UWB5330",-78.629997,42.8409
"0103UWB5331",-78.631302,42.849602
"0103UWB5333",-78.630402,42.8624
"0103UWB5338",-78.831902,42.830502
"0103UWB5339",-78.835098,42.832699
"0103UWB5340",-78.8368,42.840599
"0103UWB5341",-78.848801,42.8368
"0103UWB5342",-78.841698,42.843899
"0103UWB5343",-78.859001,42.847099
"0103UWB5344",-78.855499,42.852501
"0103UWB5345",-78.858398,42.8522
"0103UWB5346",-78.777496,42.8666
"0103UWB5347",-78.773903,42.8522
"0103UWB5348",-78.774803,42.851898
"0103UWB5350",-78.613602,42.845402
"0103UWB5351",-78.6231,42.812199
"0103UWB5352",-78.615601,42.803101
"0103UWB5353",-78.614998,42.802299
"0103UWB5354",-78.612602,42.7994
"0103UWB5355",-78.615799,42.793701
"0103UWB5358",-78.602997,42.7859
"0103UWB5359",-78.590401,42.783901
"0103UWB5364",-78.573502,42.825298
"0103UWB5365",-78.5858,42.818001
"0103UWB5368",-78.5504,42.797798
"0103UWB5369",-78.541901,42.794601
"0103UWB5371",-78.522201,42.821999
"0103UWB5372",-78.528297,42.816101
"0103UWB5376",-78.5373,42.870499
"0103UWB5378",-78.606499,42.6264
"0103UWB5379",-78.553101,42.629101
"0103UWB5380",-78.513298,42.664902
"0103UWB5381",-78.516502,42.668301
"0103UWB5382",-78.530602,42.667198
"0103UWB5383",-78.530998,42.674198
"0103UWB5384",-78.5411,42.680901
"0103UWB5385",-78.536598,42.686199
"0103UWB5387",-78.584,42.718102
"0103UWB5388",-78.575996,42.734901
"0103UWB5389",-78.5709,42.739498
"0103UWB5390",-78.580597,42.747299
"0103UWB5391",-78.615303,42.671299
"0103UWB5392",-78.589798,42.676899
"0103UWB5395",-78.571701,42.688
"0103UWB5396",-78.606102,42.7033
"0103UWB5397",-78.528397,42.7108
"0103UWB5398",-78.507698,42.715599
"0103UWB5400",-78.499702,42.703201
"0103UWB5401",-78.617699,42.616402
"0103UWB5403",-78.577599,42.611599
"0103UWB5405",-78.5159,42.613499
"0103UWB5406",-78.510696,42.610802
"0103UWB5411",-78.500603,42.591999
"0103UWB5412",-78.501404,42.591
"0103UWB5417",-78.606697,42.579899
"0103UWB5436",-78.4879,42.586899
"0103UWB5437",-78.482696,42.5854
"0103UWB5439",-78.475197,42.587601
"0103UWB5440",-78.482201,42.595001
"0103UWB5441",-78.480003,42.596901
"0103UWB5443",-78.475899,42.604099
"0103UWB5444",-78.478203,42.604301
"0103UWB5445",-78.480698,42.605999
"0103UWB5446",-78.493896,42.6115
"0103UWB5447",-78.497101,42.614601
"0103UWB5448",-78.477402,42.6161
"0103UWB5450",-78.638802,42.642601
"0103UWB5451",-78.638802,42.6441
"0103UWB5452",-78.639,42.652599
"0103UWB5453",-78.645401,42.6628
"0103UWB5458",-78.691299,42.731899
"0103UWB5468",-78.655296,42.564098
"0103UWB5470",-78.495903,42.6586
"0103UWB5471",-78.491699,42.648701
"0103UWB5472",-78.479401,42.650902
"0103UWB5473",-78.481796,42.674
"0103UWB5474",-78.484299,42.672901
"0103UWB5475",-78.469597,42.673698
"0103UWB5476",-78.441399,42.653599
"0103UWB5477",-78.398697,42.657799
"0103UWB5478",-78.379799,42.664902
"0103UWB5479",-78.383003,42.669399
"0103UWB5480",-78.381897,42.6726
"0103UWB5481",-78.446602,42.6907
"0103UWB5482",-78.4403,42.717899
"0103UWB5483",-78.439903,42.7244
"0103UWB5484",-78.477303,42.7015
"0103UWB5485",-78.486504,42.700699
"0103UWB5486",-78.494499,42.700901
"0103UWB5487",-78.497002,42.748199
"0103UWB5488",-78.482498,42.672199
"0103UWB5489",-78.467796,42.6451
"0103UWB5490",-78.400597,42.647098
"0103UWB5535",-78.620102,42.664299
"0103UWB5576",-78.721802,42.796501
"0103UWB5757",-78.6296,42.591499
"0103UWB5766",-78.629799,42.862499
"0104BEA0133",-78.396599,42.447201
"0104CLE0100",-78.852997,42.553501
"0104CRA5666",-78.656601,42.391998
"0104CRY0147",-78.343399,42.463699
"0104DUFXXX1",-78.49876,42.51323
"0104ECK5520",-78.839203,42.684601
"0104FRO0128",-78.481499,42.438702
"0104GRE5309",-78.751404,42.757301
"0104HEA5546",-78.939201,42.694599
"0104HIR5501",-78.335899,42.544498
"0104HOL5678",-78.861603,42.448502
"0104JAV0152",-78.343903,42.631302
"0104LIM0130",-78.479202,42.427399
"0104LUC5717",-78.485199,42.446602
"0104LUC5718",-78.483101,42.447201
"0104MOO0146",-78.342796,42.474201
"0104MUD0134",-78.362396,42.423
"0104PAR5418",-78.4981,42.557999
"0104PER5778",-78.996498,42.4277
"0104PRIXXX1",-78.828332,42.471866
"0104RAI5630",-78.698196,42.352001
"0104SKI0141",-78.377502,42.481201
"0104SUC0132",-78.503601,42.4366
"0104TIM5635",-78.678703,42.352501
"0104UWB0080",-78.731499,42.7673
"0104UWB0081",-78.7332,42.768101
"0104UWB0082",-78.876,42.680099
"0104UWB0084",-78.742798,42.695801
"0104UWB0085",-78.702904,42.602902
"0104UWB0086",-78.669403,42.570301
"0104UWB0086A",-78.996201,42.683899
"0104UWB0092A",-79.033096,42.614201
"0104UWB0094A",-79.048401,42.5984
"0104UWB0094B",-79.128899,42.588901
"0104UWB0099",-78.928101,42.520801
"0104UWB0099A",-78.8368,42.5252
"0104UWB0101",-78.934502,42.4921
"0104UWB0103A",-78.994698,42.537701
"0104UWB0104A",-78.922699,42.441601
"0104UWB0110",-78.767502,42.508099
"0104UWB0110A",-78.736198,42.508701
"0104UWB0110B",-78.749496,42.517799
"0104UWB0110C",-78.731499,42.515598
"0104UWB0111",-78.713303,42.561901
"0104UWB0111A",-78.695396,42.5075
"0104UWB0111B",-78.706001,42.524601
"0104UWB0111C",-78.713699,42.5247
"0104UWB0111F",-78.704201,42.556801
"0104UWB0111H",-78.739403,42.525101
"0104UWB0111I",-78.747498,42.525902
"0104UWB0111J",-78.738502,42.534698
"0104UWB0111K",-78.7304,42.530399
"0104UWB0111L",-78.730698,42.5308
"0104UWB0111M",-78.731201,42.531898
"0104UWB0111P",-78.7341,42.536999
"0104UWB0111Q",-78.734596,42.537701
"0104UWB0111R",-78.737602,42.537602
"0104UWB0111S",-78.737297,42.5383
"0104UWB0111T",-78.717499,42.563702
"0104UWB0111U",-78.716797,42.564602
"0104UWB0111V",-78.722504,42.566299
"0104UWB0111W",-78.741302,42.545601
"0104UWB0111X",-78.744499,42.551399
"0104UWB0111Y",-78.740997,42.551701
"0104UWB0111Z",-78.737801,42.5532
"0104UWB0114",-78.683197,42.515499
"0104UWB0114A",-78.679398,42.512699
"0104UWB0114B",-78.678497,42.5126
"0104UWB0114C",-78.679604,42.5163
"0104UWB0115",-78.667,42.507099
"0104UWB0116",-78.666298,42.522999
"0104UWB0116A",-78.658096,42.5257
"0104UWB0117",-78.652298,42.532299
"0104UWB0118",-78.648102,42.5546
"0104UWB0118A",-78.659203,42.5625
"0104UWB0118B",-78.659103,42.563801
"0104UWB0118C",-78.660896,42.564499
"0104UWB0118D",-78.667999,42.549
"0104UWB0118E",-78.673698,42.550301
"0104UWB0118F",-78.675301,42.551201
"0104UWB0118G",-78.672401,42.552502
"0104UWB0118H",-78.679398,42.553101
"0104UWB0118I",-78.665802,42.500999
"0104UWB0119",-78.644402,42.5033
"0104UWB0119A",-78.6483,42.503399
"0104UWB0121",-78.648598,42.507099
"0104UWB0122",-78.646698,42.507599
"0104UWB0123",-78.646301,42.5088
"0104UWB0124",-78.647499,42.512901
"0104UWB0125",-78.6455,42.513401
"0104UWB0125A",-78.646599,42.513699
"0104UWB0125B",-78.647301,42.5144
"0104UWB0126",-78.649101,42.514198
"0104UWB0126A",-78.633301,42.5079
"0104UWB0126B",-78.636498,42.509701
"0104UWB0126C",-78.6371,42.5107
"0104UWB0126D",-78.6296,42.505501
"0104UWB0126E",-78.629799,42.506
"0104UWB0126F",-78.6269,42.511799
"0104UWB0126G",-78.627403,42.512299
"0104UWB0126H",-78.632896,42.518501
"0104UWB0126I",-78.629898,42.521
"0104UWB0126J",-78.636101,42.522499
"0104UWB0126K",-78.637703,42.524799
"0104UWB0126L",-78.6306,42.532002
"0104UWB0126M",-78.628304,42.539001
"0104UWB0126N",-78.626,42.542801
"0104UWB0131",-78.500099,42.435799
"0104UWB0136",-78.376701,42.509399
"0104UWB0140",-78.371101,42.494598
"0104UWB0143",-78.362198,42.490398
"0104UWB5295",-78.306702,42.661499
"0104UWB5308",-78.7369,42.7528
"0104UWB5310",-78.716797,42.753899
"0104UWB5312",-78.702301,42.766399
"0104UWB5317",-78.679497,42.756699
"0104UWB5334",-78.766098,42.794899
"0104UWB5335",-78.8769,42.7546
"0104UWB5336",-78.881203,42.756802
"0104UWB5349",-78.712799,42.768002
"0104UWB5419",-78.521896,42.532501
"0104UWB5421",-78.556198,42.527
"0104UWB5423",-78.620003,42.544399
"0104UWB5425",-78.570297,42.512699
"0104UWB5426",-78.479797,42.517502
"0104UWB5427",-78.479896,42.516399
"0104UWB5428",-78.448898,42.526199
"0104UWB5429",-78.423798,42.501598
"0104UWB5430",-78.428802,42.500702
"0104UWB5431",-78.376099,42.511902
"0104UWB5432",-78.421501,42.5588
"0104UWB5433",-78.420097,42.5621
"0104UWB5434",-78.3825,42.562
"0104UWB5438",-78.832802,42.2775
"0104UWB5460",-78.7379,42.713299
"0104UWB5466",-78.742203,42.547001
"0104UWB5494",-78.3312,42.511902
"0104UWB5495",-78.3125,42.509399
"0104UWB5496",-78.318603,42.576698
"0104UWB5497",-78.318497,42.565102
"0104UWB5498",-78.334503,42.554401
"0104UWB5499",-78.322403,42.556
"0104UWB5500",-78.334701,42.5476
"0104UWB5502",-78.317398,42.573898
"0104UWB5503",-78.313698,42.5937
"0104UWB5504",-78.3647,42.591202
"0104UWB5506",-78.294998,42.600899
"0104UWB5507",-78.301697,42.5872
"0104UWB5508",-78.306099,42.5868
"0104UWB5509",-78.356796,42.521
"0104UWB5510",-78.319397,42.584099
"0104UWB5511",-78.317596,42.5825
"0104UWB5512",-78.333397,42.554298
"0104UWB5513",-78.808701,42.733398
"0104UWB5515",-78.7864,42.7491
"0104UWB5518",-78.848099,42.699699
"0104UWB5519",-78.865402,42.6912
"0104UWB5523",-78.833603,42.674702
"0104UWB5524",-78.812202,42.665901
"0104UWB5526",-78.7715,42.678501
"0104UWB5528",-78.859497,42.629299
"0104UWB5530",-78.794502,42.653198
"0104UWB5531",-78.775597,42.677399
"0104UWB5533",-78.804802,42.7122
"0104UWB5534",-78.850601,42.675598
"0104UWB5536",-78.746002,42.699299
"0104UWB5539",-78.882004,42.742599
"0104UWB5540",-78.883697,42.720402
"0104UWB5541",-78.894096,42.7164
"0104UWB5542",-78.894798,42.716301
"0104UWB5543",-78.906197,42.713299
"0104UWB5544",-78.905197,42.710499
"0104UWB5548",-78.881897,42.668201
"0104UWB5549",-78.948303,42.668499
"0104UWB5550",-78.949402,42.668201
"0104UWB5553",-78.967697,42.642502
"0104UWB5554",-78.903198,42.6479
"0104UWB5557",-78.940597,42.626099
"0104UWB5560",-78.950203,42.702301
"0104UWB5566",-78.762398,42.5159
"0104UWB5568",-78.761002,42.530899
"0104UWB5570",-78.840897,42.576099
"0104UWB5571",-78.828697,42.5727
"0104UWB5574",-78.751701,42.5881
"0104UWB5575",-78.754898,42.617199
"0104UWB5578",-79.12094,42.56519
"0104UWB5588",-79.072403,42.546101
"0104UWB5591",-79.060501,42.544601
"0104UWB5600",-78.909698,42.562199
"0104UWB5601",-78.917999,42.569801
"0104UWB5602",-78.9216,42.574402
"0104UWB5604",-78.954598,42.595402
"0104UWB5606",-78.940102,42.6138
"0104UWB5607",-78.878197,42.617401
"0104UWB5612",-78.356598,42.495701
"0104UWB5614",-78.898201,42.3489
"0104UWB5615",-78.804497,42.358799
"0104UWB5616",-78.757896,42.3573
"0104UWB5617",-78.760498,42.3526
"0104UWB5618",-78.764999,42.348499
"0104UWB5619",-78.783997,42.360802
"0104UWB5620",-78.758598,42.3396
"0104UWB5622",-78.8199,42.304298
"0104UWB5623",-78.8358,42.280899
"0104UWB5624",-78.758697,42.375099
"0104UWB5625",-78.727997,42.374
"0104UWB5626",-78.726501,42.3727
"0104UWB5627",-78.729103,42.3689
"0104UWB5628",-78.729202,42.366798
"0104UWB5629",-78.729896,42.365299
"0104UWB5631",-78.676102,42.3718
"0104UWB5632",-78.674202,42.3713
"0104UWB5634",-78.656998,42.370399
"0104UWB5636",-78.694603,42.3503
"0104UWB5637",-78.699303,42.347801
"0104UWB5638",-78.7174,42.343102
"0104UWB5639",-78.692703,42.320999
"0104UWB5640",-78.691498,42.319698
"0104UWB5641",-78.8741,42.446899
"0104UWB5642",-78.911102,42.468899
"0104UWB5643",-78.9076,42.467499
"0104UWB5645",-78.916397,42.468899
"0104UWB5646",-78.903999,42.4846
"0104UWB5647",-78.8797,42.488899
"0104UWB5648",-78.908302,42.4743
"0104UWB5649",-78.935799,42.4911
"0104UWB5650",-78.987801,42.459301
"0104UWB5651",-78.987297,42.497898
"0104UWB5652",-78.998001,42.463402
"0104UWB5656",-78.722099,42.432301
"0104UWB5657",-78.7192,42.432201
"0104UWB5658",-78.720802,42.4198
"0104UWB5660",-78.635597,42.457802
"0104UWB5661",-78.642303,42.438
"0104UWB5662",-78.637497,42.435299
"0104UWB5663",-78.659401,42.4296
"0104UWB5664",-78.658699,42.4282
"0104UWB5665",-78.648399,42.4007
"0104UWB5667",-78.648498,42.3782
"0104UWB5668",-78.629402,42.428398
"0104UWB5669",-78.854202,42.4011
"0104UWB5670",-78.8414,42.391998
"0104UWB5672",-78.813698,42.395901
"0104UWB5673",-78.818199,42.4007
"0104UWB5674",-78.8172,42.407902
"0104UWB5676",-78.818603,42.4091
"0104UWB5677",-78.845497,42.4072
"0104UWB5681",-78.777,42.4286
"0104UWB5682",-78.776298,42.423901
"0104UWB5686",-78.777,42.494801
"0104UWB5688",-78.832604,42.481701
"0104UWB5690",-78.868599,42.460098
"0104UWB5691",-78.808899,42.484699
"0104UWB5692",-78.876602,42.4133
"0104UWB5693",-78.954903,42.432098
"0104UWB5696",-78.597397,42.411499
"0104UWB5697",-78.615196,42.381802
"0104UWB5698",-78.585197,42.4216
"0104UWB5700",-78.579598,42.444698
"0104UWB5702",-78.568802,42.455399
"0104UWB5703",-78.562599,42.456001
"0104UWB5704",-78.5672,42.456001
"0104UWB5705",-78.532501,42.462799
"0104UWB5706",-78.527199,42.462398
"0104UWB5708",-78.529602,42.4809
"0104UWB5709",-78.556396,42.4435
"0104UWB5710",-78.514801,42.444401
"0104UWB5711",-78.512299,42.445999
"0104UWB5715",-78.469803,42.431
"0104UWB5716",-78.491302,42.435299
"0104UWB5719",-78.490196,42.458099
"0104UWB5720",-78.432198,42.442799
"0104UWB5721",-78.445,42.4664
"0104UWB5722",-78.429497,42.4534
"0104UWB5723",-78.388298,42.459999
"0104UWB5724",-78.410797,42.491901
"0104UWB5725",-78.354401,42.400002
"0104UWB5726",-78.3591,42.396599
