Lake_ID,NATURAL,FOREST,DEVELOPED
0503HOR0034,55.16305808,52.15440821,5.442432708
0503UWB5324,95.80093313,91.44634526,2.799377916
0503ALM0029C,76.97282148,75.25648608,6.955979533
0503UWB5257,6.896551724,5.172413793,1.724137931
0503AGT5287,78.45303867,77.90055249,7.73480663
0503CRA0028,71.92982456,58.24561404,24.21052632
0503GOO0027,77.68292683,76.09756098,7.987804878
0503ERW0023B,98.71601208,95.31722054,0
0503UWB5133,97.87581699,96.07843137,0
0503UWB5135,3.488372093,2.325581395,0
0503UWB5137,67.21044046,65.45676998,9.502446982
0503UWB5166,55.86206897,55.86206897,0
0503UWB5138,87.92134831,77.24719101,0
0503UWB5268,76.28968254,75,3.670634921
0503UWB5179,98.03439803,88.20638821,0
0503UWB5093,56.88789738,54.3781372,2.900167317
0503UWB5176,100,99.74160207,0
0503UWB5215,65.01035197,65.01035197,0
0503UWB5221,41.03641457,40.89635854,5.952380952
0503UWB5216,43.50453172,41.08761329,10.57401813
0503BAX5187,25.15923567,24.84076433,11.78343949
0503UWB5275,43.57034796,34.94704992,2.269288956
0503UWB5316,100,98.88475836,0
0503UWB5286,59.48275862,51.72413793,8.620689655
0503UWB5291,94.55782313,91.83673469,0
0503UWB5130,15.85365854,0,0
0502WAN0048,47.38150548,44.4716143,8.456616538
0502MUD0063,57.41511397,52.56786153,5.67483212
0502LAM0047,56.25951536,50.6808536,6.871475594
0502UWB5293,98.35164835,97.8021978,0
0502LOU0071,46.1722488,41.70653907,5.980861244
0502UWB5328,56.68789809,40.12738854,7.006369427
0502SMI0066,32.57686676,24.08491947,8.601756955
0502UWB5302,57.77525539,57.66174801,4.426787741
0502SAN0043,64.98973306,57.63175907,8.590006845
0502VAN0045,66.18705036,62.69270298,10.17471737
0502ROU0046,61.81533646,61.81533646,6.259780908
0502PET0042,62.87164612,54.53226976,7.904278463
0502SAL0051,47.17358679,43.22161081,16.55827914
0501UWB5006,82.29011762,80.87062323,4.961470867
0502UWB5132,81.52866242,80.57324841,5.095541401
0502DEM0068,51.79282869,49.00398406,21.11553785
0502CIN0038,63.88235294,54.23529412,11.05882353
0502UWB5188,29.20353982,27.07964602,3.716814159
0502UWB5194,2.941176471,2.941176471,42.64705882
0502UWB5193,0,0,19.36619718
0502UWB5192,1.098901099,0,10.98901099
0502UWB0042A,69.16780355,58.48112779,5.684402001
0502UWB0044C,53.97286822,51.45348837,0.678294574
0502UWB5197,62.73908336,59.79389711,5.100445086
0501UWB5008,44.73684211,43.42105263,13.15789474
0502UWB5196,34.02985075,33.73134328,3.582089552
0501BUC5009,67.63197587,63.40874811,3.981900452
0502UWB5199,63.79746835,63.79746835,5.443037975
0501UWB5116,70.25862069,69.82758621,0
0502UWB5201,15.03006012,15.03006012,4.008016032
0501UWB5043,34.7639485,21.88841202,4.291845494
0501UWB5044,21.01449275,7.246376812,3.623188406
0501UWB5045,70.45454545,64.77272727,9.090909091
0502UWB5203,79.8245614,71.05263158,2.631578947
0501UWB5074,100,100,0
0501UWB5076,74.28872497,72.14611872,13.59325606
0501UWB5012,88.5,86.5,0
0501UWB5042,3.563791875,1.99572345,80.6129722
0502THU0040,61.09134573,58.62314329,5.999288446
0501UWB5041,20.96842105,18.63157895,64.08421053
0501UWB5078,9.497964722,0.13568521,69.47082768
0502UWB5123,58.49802372,58.49802372,0
0501UWB5073,39.56834532,36.69064748,12.58992806
0502UWB0041,55.86652314,55.54359526,4.843918192
0501LOW0021,6.081081081,0,33.10810811
0501ELD0014,6.666666667,6.666666667,88
0501UWB0011A,38.64541833,38.64541833,17.92828685
0501UWB5072,20.40998217,12.92335116,43.93939394
0501UWB0015,43.58701437,41.72432145,6.652474721
0502UWB5128,42.06373293,29.37784522,6.464339909
0501ELM0019,53.44205868,51.81937387,7.433207671
0502UWB5129,48.97959184,39.11564626,6.12244898
0501UWB0022A,66.88963211,65.50406116,22.31247014
0501UWB5054,52.04678363,52.04678363,7.602339181
0501UWB5055,33.23442136,29.17903066,6.627101879
0501UWB5026,37.41496599,27.21088435,29.93197279
0501WAV0010,72.67768877,71.85955343,7.192773138
0501UWB5013,21.62162162,16.21621622,0
0501WAV0009,86.36363636,86.36363636,11.36363636
0501UWB5028,15.23809524,12.38095238,14.28571429
0501UWB5056,82.84960422,71.10817942,0
0501UWB5057,62.76595745,57.44680851,4.255319149
0501UWB5101,43.49845201,43.34365325,10.37151703
0501UWB5058,44.11764706,44.11764706,0
0501UWB5060,33.83600377,28.84071631,6.03204524
0501UWB5059,30,16.25,0
0501UWB5061,21.27516779,18.12080537,4.697986577
0501UWB5062,27.45825603,23.74768089,6.307977737
0501UWB5065,29.62962963,20.781893,5.144032922
0501UWB5063,71.14285714,64,3.142857143
0501UWB5104,70.58130401,52.572663,6.657501964
0501UWB0021C,67.51054852,59.17721519,6.856540084
0501UWB5083,73.17647059,72,7.294117647
0501UWB5086,61.17336849,58.93210283,5.537244562
0501UWB5088,43.31983806,43.31983806,0
0501UWB5068,36.19047619,35.71428571,8.095238095
0501UWB5069,1.408450704,0,7.042253521
0501UWB5089,43.73040752,43.26018809,4.545454545
0501UWB5090,37.38738739,14.18918919,3.378378378
0105LSI0156,63.71050824,61.2551511,3.745278159
0105UWB0157B,42.36418746,38.5715396,12.01523277
0105UWB5737,19.89837957,19.40400989,29.60725076
0105FRE0160,83.28407225,81.79310345,4.545155993
0105BUR0162,94.60856721,94.60856721,3.508124077
0105MIN0165A,92.42819843,92.37597911,4.804177546
0105UWB5741,100,98.30508475,0
0105SIL0157,63.29120909,58.62811103,3.255890955
0105EMU0144,72.67092776,64.34243657,3.292659307
0105BRO0160K,91.04874105,85.21598522,5.162855163
0105UWB0176,83.43362832,64.21238938,2.300884956
0104JAV0152,55.29269032,20.80679406,10.31240522
0104UWB5503,85.88235294,71.76470588,7.058823529
0104UWB5508,65.625,65.625,0
