OBJECTID,REACHCODE,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_12,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode_1,FType,FCode,Shape_Leng,LkAcres,Perimeter,Lake_ID,Location_I,Long,Lat,Region,County,Type,LocType,Shape_Le_1,Shape_Area,ReachNew
11,W01100005002926,1.864801865000000,4.428904429,5.128205128,5.128205128,0.077700078,0,8.780108780000001,0.000000000000000,0.310800311000000,0,0,34.42113442,31.85703186,7.070707071000000,0.932400932,15606,15607,1,15606,15607,7711176,9/6/1999 0:00:00,3, , ,0.028000000000000,0.000000000000000,01100005002926,390,39004,0.007434083626170,6.989015929390000,696.837392852999980,1601UWB1129,1601UWB1129_C,-73.524696399999996,41.881099700000000,3,Dutchess,Lake,Centroid,0.007434083704150,0.000003069141142,W01100005002926
12,W01100005002928,4.525386313000000,6.181015453,0.55187638,0.110375276,0,0,39.735099339999998,0.000000000000000,1.214128035000000,0,6.622516556,24.06181015,1.214128035,14.348785870000000,1.434878587,14546,14547,1,14546,14547,7711162,9/6/1999 0:00:00,3, , ,0.046000000000000,0.000000000000000,01100005002928,390,39004,0.008201538660300,11.312300000000000,793.187241237999960,1601UWB6471,1601UWB6471_C,-73.576797499999998,41.886901899999998,3,Dutchess,Lake,Centroid,0.008201539475260,0.000004968283396,W01100005002928
13,W01100005002943,11.977715880000000,0,0,0,0,0,23.119777160000002,0.835654596000000,2.506963788000000,0,0,60.16713092,0,1.392757660000000,0,14553,14554,1,14553,14554,7711178,9/6/1999 0:00:00,3, , ,0.035000000000000,0.000000000000000,01100005002943,390,39004,0.007469914751990,8.733658136070000,740.513268236000040,1601UWB5901,1601UWB5901_C,-73.626503000000000,41.879798899999997,3,Dutchess,Lake,Centroid,0.007469915136040,0.000003835397237,W01100005002943
14,W01100005002950,11.851851849999999,0,0,0,0,0,65.185185189999999,0.000000000000000,0.000000000000000,0,0,22.96296296,0,0.000000000000000,0,14560,14561,0,14560,14561,7711196,9/6/1999 0:00:00,3, , ,0.013000000000000,0.000000000000000,01100005002950,390,39004,0.004754725872010,3.238509070690000,453.722082116000020, , ,0.000000000000000,0.000000000000000,0, , , ,0.004754725772740,0.000001421832309,W01100005002950
15,W01100005002953,1.754385965000000,0,0,0,0,0,89.473684210000002,0.000000000000000,8.771929825000001,0,0,0,0,0.000000000000000,0,14562,14563,0,14562,14563,7711200,9/6/1999 0:00:00,3, , ,0.006000000000000,0.000000000000000,01100005002953,390,39004,0.003074262731340,1.502398751370000,300.966947328999990, , ,0.000000000000000,0.000000000000000,0, , , ,0.003074263156880,0.000000659576338,W01100005002953
16,W01100005002954,1.028481013000000,0,0,0,0,0,87.658227850000003,0.000000000000000,0.000000000000000,0,0.870253165,8.069620253,0,2.373417722000000,0,14565,14566,1,14565,14566,7711210,9/6/1999 0:00:00,3, , ,0.012000000000000,0.000000000000000,01100005002954,390,39004,0.004793547966350,3.069065025370000,477.659848979000000,1601CRY1124,1601CRY1124_C,-73.560798599999998,41.856601699999999,3,Dutchess,Lake,Centroid,0.004793547344380,0.000001347262289,W01100005002954
17,W01100005002963,8.333333333000001,0,0,0,0,37.5,0.000000000000000,0.000000000000000,0.000000000000000,4.166666667,20.83333333,29.16666667,0,0.000000000000000,0,15308,15309,0,15308,15309,7711244,9/6/1999 0:00:00,3, , ,0.008000000000000,0.000000000000000,01100005002963,390,39004,0.003786192313190,2.088418141510000,350.278309455000000, , ,0.000000000000000,0.000000000000000,0, , , ,0.003786192990430,0.000000916560359,W01100005002963
18,W01100005002964,4.721030043000000,6.86695279,0,0,0,0,75.536480690000005,2.145922747000000,9.442060086000000,0,0,0,0,1.287553648000000,0,14768,14769,1,14768,14769,7711242,9/6/1999 0:00:00,3, , ,0.015000000000000,0.000000000000000,01100005002964,390,39004,0.004759894185660,3.629128933700000,468.004449702999980,1601UWB1128,1601UWB1128_C,-73.523399400000002,41.844600700000001,3,Dutchess,Lake,Centroid,0.004759894360150,0.000001592797131,W01100005002964
19,W01100005002965,2.466091245000000,0.55487053,0,0,0,0,86.498150429999995,0.000000000000000,0.000000000000000,0,1.418002466,6.411837238,0,2.651048089000000,0,15608,15609,1,15608,15609,7711220,9/6/1999 0:00:00,3, , ,0.029000000000000,0.000000000000000,01100005002965,390,39004,0.010242621451900,7.105378687960000,1025.060725310000000,1601ARR1123A,1601ARR1123A_C,-73.560501099999996,41.852600099999997,3,Dutchess,Lake,Centroid,0.010242621318300,0.000003118916741,W01100005002965
20,W01100005002966,0.224313041000000,4.392797059,2.691756496,0.74147922,0.324007726,0.024923671,45.747398590000003,0.442395165000000,2.430057948000000,0.168234781,1.507882111,21.69605583,9.284067543,9.819926475000001,0.504704343,15096,15097,1,15096,15097,7711234,9/6/1999 0:00:00,3, , ,0.004000000000000,0.000000000000000,01100005002966,390,39004,0.002794433118530,1.073772660740000,254.409570135000000,1601UWB6642,1601UWB6642_C,-73.553901699999997,41.847198499999998,3,Dutchess,Lake,Centroid,0.002794431833790,0.000000471296074,W01100005002966
